,latitude,longitude,LSOA11CD
133,53.48588641476473,-2.239545556677306,E01033664
134,53.48483,-2.23703,E01033664
135,53.485702526623754,-2.236623921666277,E01033664
136,53.48582412350156,-2.2402783706710228,E01033664
137,53.48903073187538,-2.237820822148254,E01033664
138,53.48485676141371,-2.2366689481865265,E01033664
139,53.48801,-2.23676,E01033664
140,53.486880000000006,-2.2353,E01033664
141,53.4889,-2.2347900000000003,E01033664
142,53.48931,-2.2337700000000003,E01033664
143,53.484759074346655,-2.236368416968633,E01033664
144,53.48936,-2.23325,E01033664
145,53.48911999999999,-2.23585,E01033664
146,53.488611242548195,-2.2384278829711843,E01033664
147,53.4872,-2.23565,E01033664
148,53.48555343162077,-2.2369032718595774,E01033664
149,53.48513000000001,-2.24173,E01033664
150,53.48891999999999,-2.23518,E01033664
151,53.48434317743917,-2.238270751754857,E01033664
152,53.48487,-2.2365,E01033664
153,53.48716,-2.23457,E01033664
154,53.48504000000001,-2.24084,E01033664
155,53.48566,-2.23688,E01033664
156,53.48941,-2.23846,E01033664
157,53.48817,-2.2360900000000004,E01033664
158,53.48728000000001,-2.23543,E01033664
159,53.48779,-2.23585,E01033664
160,53.4886,-2.23533,E01033664
161,53.48806999999999,-2.23519,E01033664
162,53.48678,-2.2360900000000004,E01033664
163,53.48659,-2.2365,E01033664
164,53.48914,-2.23482,E01033664
165,53.48863000000001,-2.23454,E01033664
166,53.48539608412733,-2.2389232365846548,E01033664
167,53.48523,-2.2378400000000003,E01033664
168,53.484740177423106,-2.2391333947096506,E01033664
169,53.48725816136964,-2.2358082933942702,E01033664
170,53.48624757165102,-2.237924632085297,E01033664
171,53.489437832812406,-2.2348968449190982,E01033664
172,53.48787,-2.23544,E01033664
173,53.48935647201644,-2.2373066956830967,E01033664
174,53.485319310626714,-2.2362736367731677,E01033664
175,53.48877,-2.23575,E01033664
176,53.48513000000001,-2.24013,E01033664
177,53.48545,-2.23969,E01033664
178,53.48481999999999,-2.24117,E01033664
179,53.48551,-2.24127,E01033664
180,53.48543000000001,-2.24179,E01033664
181,53.48477,-2.23665,E01033664
182,53.48944,-2.23359,E01033664
183,53.48554682707907,-2.237211343696377,E01033664
184,53.48648994964182,-2.236761844448984,E01033664
185,53.48489342548865,-2.2364563558966184,E01033664
